condition,layer,head,svd,alpha,sigma,raw_gap,stereo_corr,stereo_delta,ppl,ppl_delta,n_rows,n_occ,skipped
baseline,-1,-1,-1,0.0,nan,1.159375,0.6114808557780513,0.9553670745272524,93.40820288192579,0.0,720,60,0
compass,21,4,0,0.25,2.3535988330841064,1.08515625,0.5515808316213388,0.7459156006674083,93.40820288192579,0.0,720,60,0
compass,21,4,0,0.5,2.3535988330841064,1.0325520833333333,0.4575572775964702,0.5380805061179089,93.6030061542134,0.19480327228761496,720,60,0
compass,21,4,0,1.0,2.3535988330841064,0.9690104166666667,0.17880687596639966,0.16732132925472742,93.7982156896955,0.3900128077697076,720,60,0
compass,21,4,0,1.5,2.3535988330841064,0.9630208333333333,-0.12969321052396063,-0.16368882091212456,94.48466063486643,1.076457752940641,720,60,0
compass,21,4,0,2.0,2.3535988330841064,0.99921875,-0.3881617507619931,-0.5327620967741935,95.37461949221829,1.966416610292498,720,60,0
actadd,21,-1,-1,1.0,nan,0.9263020833333333,0.5014449545234266,0.5738841768631813,94.48466063486643,1.076457752940641,720,60,0
