Model: gpt2
Planes scanned: 864  (layers=0..11, heads=0..11, SV-pairs from top-4)
Alphas: [3.0, 10.0]  n_angles=12  prompts=3
Thresholds: lin>0.95  dphi<10.0  amp_slope>0.2
Random-plane null: 432 planes (3 seeds x 144 heads) -- 9 pass (2.1%)
Null amp_slope: mean=0.046 p95=0.108 max=1.224
PASSED planes: 16 / 864 (1.9%)

rank   L   H      SV   A_lo   A_hi  slope     R2   dphi  phi_hi
----------------------------------------------------------------------
  0   2 (0,3)   0.22   0.84  0.084  0.999  161.6    no
  6   3 (2,3)   0.16   0.83  0.083  0.991    3.8    no
  4   8 (0,3)   0.16   0.83  0.083  0.989   15.8    no
  7   4 (0,2)   0.29   0.83  0.083  0.998   13.0    no
  4   2 (2,3)   0.22   0.82  0.082  0.999  140.6    no
 11   4 (0,2)   0.21   0.82  0.082  0.998   35.8    no
 11   6 (2,3)   0.26   0.80  0.080  0.999    0.4    no
 11   7 (1,2)   0.11   0.80  0.080  0.977   17.5    no
  7   5 (0,2)   0.11   0.80  0.080  0.974   36.4    no
 11   6 (1,2)   0.27   0.79  0.079  0.999    6.3    no
  8  11 (2,3)   0.22   0.79  0.079  1.000   16.9    no
  7   6 (0,2)   0.60   0.79  0.079  0.874   30.0    no
  5   3 (1,2)   0.11   0.78  0.078  0.976   17.4    no
  7   5 (0,1)   0.08   0.77  0.077  0.964   30.5    no
  6  10 (1,3)   0.09   0.77  0.077  0.969   77.5    no
  0   9 (2,3)   0.06   0.77  0.077  0.955   67.0    no
  6   3 (1,3)   0.16   0.76  0.076  0.994   19.1    no
  8  11 (0,1)   0.21   0.76  0.076  1.000   12.5    no
  5  11 (0,1)   0.07   0.76  0.076  0.959  171.7    no
  7   6 (0,3)   0.49   0.76  0.076  0.924   44.3    no
  0   0 (1,3)   0.12   0.76  0.076  0.982  158.2    no
  0   2 (0,2)   0.10   0.76  0.076  0.974  149.5    no
  0   2 (1,2)   0.10   0.74  0.074  0.974   67.8    no
  8  11 (1,2)   0.22   0.74  0.074  1.000   16.2    no
  0  10 (1,3)   0.13   0.74  0.074  0.987   62.5    no
  0   6 (0,3)   0.25   0.72  0.072  0.998    7.7    no
  0   8 (0,3)   0.28   0.72  0.072  0.994   15.4    no
  7   6 (0,1)   0.54   0.72  0.072  0.880   38.3    no
  5   5 (1,2)   0.17   0.72  0.072  0.997   36.5    no
  4  10 (1,2)   0.26   0.72  0.072  0.997    1.6    no
  7   4 (1,2)   0.19   0.71  0.071  0.999    8.5    no
 11   4 (1,2)   0.20   0.71  0.071  1.000   12.0    no
  6   5 (0,3)   0.07   0.71  0.071  0.962   33.7    no
  0   8 (0,2)   0.32   0.70  0.070  0.980    2.8    no
  6  10 (1,2)   0.05   0.70  0.070  0.950   75.6    no
  8   8 (0,3)   0.21   0.70  0.070  1.000    0.8    no
  6   3 (0,3)   0.12   0.69  0.069  0.986   24.1    no
  8   5 (1,3)   0.11   0.69  0.069  0.982   31.4    no
  8   8 (2,3)   0.21   0.69  0.069  1.000    3.7    no
  0   8 (1,2)   0.12   0.69  0.069  0.986   39.7    no
  6   2 (0,1)   0.19   0.69  0.069  0.999  161.2    no
  4   8 (0,1)   0.13   0.68  0.068  0.991   43.1    no
  7   5 (0,3)   0.06   0.67  0.067  0.960    1.4    no
  8   8 (1,3)   0.22   0.66  0.066  0.999    5.9    no
  8   2 (2,3)   0.27   0.66  0.066  0.991    9.7    no
  7   1 (0,3)   0.06   0.65  0.065  0.958   37.7    no
  5   5 (1,3)   0.13   0.65  0.065  0.991   12.4    no
  5   3 (0,3)   0.06   0.65  0.065  0.960  169.8    no
  7   4 (2,3)   0.19   0.64  0.064  1.000    7.9    no
  7   9 (0,1)   0.11   0.63  0.063  0.987   11.9    no
  5  11 (1,2)   0.21   0.62  0.062  0.999   81.8    no
  7   3 (0,3)   0.17   0.62  0.062  0.999   15.4    no
  7   3 (1,3)   0.21   0.62  0.062  0.999   15.1    no
  4   2 (1,2)   0.13   0.61  0.061  0.994   99.5    no
  0   9 (1,2)   0.16   0.61  0.061  0.999   56.6    no
 11   0 (0,2)   0.18   0.60  0.060  1.000  123.5    no
  5   9 (2,3)   0.12   0.60  0.060  0.990   86.1    no
  0  11 (0,1)   0.15   0.60  0.060  0.997  131.9    no
  4  10 (0,1)   0.25   0.60  0.060  0.990    5.1    no
  3   5 (1,2)   0.10   0.60  0.060  0.982   16.0    no
  2  10 (2,3)   0.13   0.60  0.060  0.995   21.0    no
  8   2 (0,2)   0.25   0.59  0.059  0.989   31.9    no
  0   8 (1,3)   0.06   0.59  0.059  0.964  104.4    no
 10   8 (0,1)   0.13   0.59  0.059  0.995    1.4    no
  4   8 (1,2)   0.08   0.59  0.059  0.975   28.2    no
  8   1 (2,3)   0.19   0.58  0.058  1.000    2.0    no
 10   7 (0,2)   0.18   0.58  0.058  1.000    1.9    no
  5   9 (1,3)   0.10   0.58  0.058  0.984   26.3    no
  7   9 (1,3)   0.12   0.57  0.057  0.992    1.7    no
  7   9 (1,2)   0.13   0.57  0.057  0.995   25.8    no
  4   2 (1,3)   0.04   0.57  0.057  0.953  104.1    no
 11   4 (2,3)   0.11   0.57  0.057  0.991    3.8    no
  4   8 (0,2)   0.14   0.57  0.057  0.997    5.2    no
  0   6 (0,2)   0.23   0.57  0.057  0.992    2.6    no
  4   4 (0,1)   0.22   0.56  0.056  0.992    3.8    no
 11   9 (2,3)   0.14   0.56  0.056  0.997    9.0    no
  7   2 (2,3)   0.16   0.56  0.056  1.000    1.6    no
 10   7 (2,3)   0.15   0.55  0.055  0.999    4.7    no
 11   6 (0,1)   0.13   0.54  0.054  0.997   12.7    no
  5   0 (1,3)   0.12   0.54  0.054  0.995   25.4    no
  5  10 (1,3)   0.09   0.54  0.054  0.983   50.9    no
  4   6 (0,2)   0.13   0.54  0.054  0.997    5.8    no
 10   7 (1,2)   0.15   0.53  0.053  1.000    6.3    no
  8   1 (0,2)   0.17   0.53  0.053  1.000    1.0    no
  5   9 (0,3)   0.42   0.53  0.053  0.868   50.7    no
  5   0 (0,3)   0.12   0.53  0.053  0.995   20.1    no
  3   5 (0,1)   0.10   0.53  0.053  0.988   34.5    no
  4   4 (0,3)   0.16   0.53  0.053  1.000   13.9    no
  7   3 (2,3)   0.15   0.53  0.053  1.000    5.7    no
  8   0 (1,2)   0.19   0.53  0.053  0.997    6.9    no
 11   2 (2,3)   0.18   0.53  0.053  0.999    3.6    no
  5   5 (0,1)   0.12   0.53  0.053  0.996   33.8    no
  0  11 (2,3)   0.18   0.52  0.052  0.998  110.6    no
 11   9 (1,3)   0.14   0.52  0.052  1.000    9.4    no
 11   9 (0,3)   0.14   0.52  0.052  0.999    9.9    no
 10   5 (2,3)   0.16   0.52  0.052  1.000    1.8    no
