file,condition,alpha,domain,metric,value,n,k_inferred,wilson_lo,wilson_hi,boot_lo,boot_hi,half_width
crowspairs_gpt2.csv,ensemble_K4,1.5,profession,ss,66.27906976744185,172,114,58.92683249470034,72.920037052204,59.30232558139535,73.25581395348837,6.97674418604651
crowspairs_gpt2.csv,ensemble_K4,1.5,gender,ss,69.46564885496183,262,182,63.64097000883974,74.72776316486642,63.74045801526718,74.80916030534351,5.5343511450381655
crowspairs_gpt2.csv,ensemble_K4,1.5,religion,ss,58.095238095238095,105,61,48.53569524888766,67.08335302940296,48.57142857142857,67.61904761904762,9.523809523809526
crowspairs_gpt2.csv,ensemble_K4,1.5,overall,ss,59.5260663507109,1055,628,56.53483091728493,62.44818097043128,56.58767772511848,62.464454976303315,2.9383886255924168
crowspairs_inlp_gemma_gender_L21.csv,baseline,,gender,ss,51.14503816793893,262,134,45.11959909953636,57.13738520479929,45.41984732824427,57.25190839694656,5.916030534351144
crowspairs_inlp_gemma_gender_L21.csv,baseline,,profession,ss,63.95348837209303,172,110,56.54550037434451,70.75181638014494,56.97674418604651,70.93023255813954,6.976744186046513
crowspairs_inlp_gemma_gender_L21.csv,baseline,,overall,ss,56.22119815668203,434,244,51.519306233009786,60.81392510269937,51.61290322580645,60.82949308755761,4.60829493087558
crowspairs_inlp_gemma_gender_L21.csv,inlp,,gender,ss,58.778625954198475,262,154,52.73333027822211,64.57021605501791,52.67175572519084,64.50381679389314,5.9160305343511475
crowspairs_inlp_gemma_gender_L21.csv,inlp,,profession,ss,64.53488372093024,172,111,57.13915210827979,71.2955528443134,57.55813953488372,71.51162790697676,6.976744186046517
crowspairs_inlp_gemma_gender_L21.csv,inlp,,overall,ss,61.05990783410138,434,265,56.39447148107843,65.53127311573786,56.451612903225815,65.66820276497695,4.608294930875569
crowspairs_inlp_gemma_race_L21.csv,baseline,,race,ss,56.007751937984494,516,289,51.69610463893364,60.23060858256517,51.74418604651163,60.27131782945736,4.263565891472865
crowspairs_inlp_gemma_race_L21.csv,baseline,,overall,ss,56.007751937984494,516,289,51.69610463893364,60.23060858256517,51.74418604651163,60.27131782945736,4.263565891472865
crowspairs_inlp_gemma_race_L21.csv,inlp,,race,ss,56.395348837209305,516,291,52.08497109766659,60.611207492961185,52.13178294573644,60.65891472868217,4.263565891472865
crowspairs_inlp_gemma_race_L21.csv,inlp,,overall,ss,56.395348837209305,516,291,52.08497109766659,60.611207492961185,52.13178294573644,60.65891472868217,4.263565891472865
crowspairs_inlp_gpt2_gender_L10.csv,baseline,,gender,ss,48.47328244274809,262,127,42.48765930029835,54.50302829392078,42.36641221374045,54.20801526717543,5.92080152671749
